c,rb,pl
https://data.naa.gov.au/def/agift/EDUCATION-AND-TRAINING,,EDUCATION AND TRAINING
https://data.naa.gov.au/def/agift/EMPLOYMENT,,EMPLOYMENT
https://data.naa.gov.au/def/agift/ENVIRONMENT,,ENVIRONMENT
https://data.naa.gov.au/def/agift/Early-childhood-education,https://data.naa.gov.au/def/agift/EDUCATION-AND-TRAINING,Early childhood education
https://data.naa.gov.au/def/agift/Earth-sciences,https://data.naa.gov.au/def/agift/SCIENCE,Earth sciences
https://data.naa.gov.au/def/agift/Economic-research,https://data.naa.gov.au/def/agift/FINANCE-MANAGEMENT,Economic research
https://data.naa.gov.au/def/agift/Election-campaigning,https://data.naa.gov.au/def/agift/Electoral-matters,Election campaigning
https://data.naa.gov.au/def/agift/Electoral-boundary-assessment,https://data.naa.gov.au/def/agift/Electoral-matters,Electoral boundary assessment
https://data.naa.gov.au/def/agift/Electoral-matters,https://data.naa.gov.au/def/agift/GOVERNANCE,Electoral matters
https://data.naa.gov.au/def/agift/Electronic-commerce,https://data.naa.gov.au/def/agift/COMMUNICATIONS,Electronic commerce
https://data.naa.gov.au/def/agift/Electronic-postal-services,https://data.naa.gov.au/def/agift/Postal-services,Electronic postal services
https://data.naa.gov.au/def/agift/Electronic-publishing,https://data.naa.gov.au/def/agift/Publishing,Electronic publishing
https://data.naa.gov.au/def/agift/Emergency-accommodation,https://data.naa.gov.au/def/agift/Accommodation-services,Emergency accommodation
https://data.naa.gov.au/def/agift/Emergency-funding,https://data.naa.gov.au/def/agift/Emergency-services,Emergency funding
https://data.naa.gov.au/def/agift/Emergency-management,https://data.naa.gov.au/def/agift/DEFENCE,Emergency management
https://data.naa.gov.au/def/agift/Emergency-services,https://data.naa.gov.au/def/agift/COMMUNITY-SERVICES,Emergency services
https://data.naa.gov.au/def/agift/Employment-advocacy-services,https://data.naa.gov.au/def/agift/Workplace-agreement-processes,Employment advocacy services
https://data.naa.gov.au/def/agift/Employment-services-marketing,https://data.naa.gov.au/def/agift/Labour-market-programs,Employment services marketing
https://data.naa.gov.au/def/agift/Endangered-species-protection,https://data.naa.gov.au/def/agift/Conservation-programs,Endangered species protection
https://data.naa.gov.au/def/agift/Energy-resources,https://data.naa.gov.au/def/agift/NATURAL-RESOURCES,Energy resources
https://data.naa.gov.au/def/agift/Energy-supply,https://data.naa.gov.au/def/agift/CIVIC-INFRASTRUCTURE,Energy supply
https://data.naa.gov.au/def/agift/Engineering-and-technology-sciences,https://data.naa.gov.au/def/agift/Applied-sciences,Engineering and technology sciences
https://data.naa.gov.au/def/agift/Engineering-services,https://data.naa.gov.au/def/agift/Civic-management,Engineering services
https://data.naa.gov.au/def/agift/Entomology,https://data.naa.gov.au/def/agift/Biological-sciences,Entomology
